"UF","Município","Zonas","Locais","Seções","Eleitorado","EleitoradoFeminino","EleitoradoMasculino","PorcentagemF","PorcentagemM"
"GO","Abadia De Goiás",1,7,47,2607,1340,1267,51.4,48.6
"MG","Abadia Dos Dourados",1,6,23,865,443,421,51.21,48.67
"GO","Abadiânia",1,9,39,1938,987,951,50.93,49.07
"PA","Abaetetuba",1,127,403,2806,1507,1299,53.71,46.29
"MG","Abaeté",1,10,66,1400,731,668,52.21,47.71
"CE","Abaiara",1,13,32,1083,550,533,50.78,49.22
"BA","Abaré",1,10,45,1290,699,591,54.19,45.81
"PR","Abatiá",1,3,18,889,474,415,53.32,46.68
"BA","Abaíra",1,19,30,962,500,462,51.98,48.02
"SC","Abdon Batista",1,6,9,638,332,306,52.04,47.96
"PA","Abel Figueiredo",1,2,20,1174,596,578,50.77,49.23
"SC","Abelardo Luz",1,9,44,1253,659,594,52.59,47.41
"MG","Abre Campo",1,8,38,1405,757,648,53.88,46.12
"PE","Abreu E Lima",1,32,233,2339,1235,1100,52.8,47.03
"TO","Abreulândia",1,3,9,748,359,389,47.99,52.01
"MG","Acaiaca",1,4,13,907,462,444,50.94,48.95
"BA","Acajutiba",1,12,42,1260,657,603,52.14,47.86
"CE","Acarape",1,18,42,1319,695,624,52.69,47.31
"CE","Acaraú",1,46,175,1890,983,907,52.01,47.99
"RN","Acari",1,4,29,1021,531,490,52.01,47.99
"PA","Acará",1,67,176,2254,1213,1041,53.82,46.18
"PI","Acauã",1,13,31,777,414,363,53.28,46.72
"RS","Aceguá",1,3,12,878,451,427,51.37,48.63
"CE","Acopiara",1,73,186,1914,1018,896,53.19,46.81
"MT","Acorizal",1,12,29,1215,618,597,50.86,49.14
"AC","Acrelândia",1,13,48,1418,754,664,53.17,46.83
"GO","Acreúna",1,6,47,1542,815,727,52.85,47.15
"SP","Adamantina",1,8,83,1487,781,703,52.52,47.28
"GO","Adelândia",1,1,8,856,429,427,50.12,49.88
"SP","Adolfo",1,2,14,833,443,390,53.18,46.82
"PR","Adrianópolis",1,7,24,1094,571,523,52.19,47.81
"BA","Adustina",1,9,46,1011,511,500,50.54,49.46
"PE","Afogados Da Ingazeira",1,20,106,2099,1130,969,53.84,46.16
"RN","Afonso Bezerra",1,12,33,1359,715,644,52.61,47.39
"ES","Afonso Cláudio",1,15,87,1608,883,717,54.91,44.59
"MA","Afonso Cunha",1,9,32,997,518,479,51.96,48.04
"PE","Afrânio",1,11,52,1449,755,694,52.1,47.9
"PA","Afuá",1,35,101,1572,814,758,51.78,48.22
"PE","Agrestina",1,17,65,1697,895,802,52.74,47.26
"PI","Agricolândia",1,7,23,1028,540,488,52.53,47.47
"SC","Agrolândia",1,5,26,948,510,438,53.8,46.2
"SC","Agronômica",1,8,16,800,424,376,53,47
"MG","Aguanil",1,4,13,827,422,401,51.03,48.49
